Plant Name,Latitude,Longitude,Capacity Factor,Nameplate Capacity,State,Balancing Authority Name
"10 Briggs Solar NG, LLC (East)",41.63269,-71.49625,,5,RI,ISO New England Inc.
"1025 Traveller Solar, LLC",35.427308,-79.126319,,5,NC,Duke Energy Progress East
"1047 Little Mountain Solar, LLC",36.197067,-80.806725,,3,NC,Duke Energy Carolinas
12 Applegate Solar LLC,40.200278,-74.576111,0.1326,1.9,NJ,"PJM Interconnection, LLC"
126 Grove Solar LLC,42.076119,-71.422707,0.12529,2,MA,ISO New England Inc.
1420 Coil Av #C,33.794283,-118.241405,0.18783,1.3,CA,Los Angeles Department of Water and Power
145 Talmadge Solar,40.535787,-74.391268,0.13897,3.8,NJ,"PJM Interconnection, LLC"
158th Fighter Wing Solar Farm,44.477705,-73.153412,0.12373,1.3,VT,ISO New England Inc.
1634 Solar,34.3368,-80.081493,,2,SC,Duke Energy Progress East
180 Raritan Solar,40.516111,-74.34,0.14335,1.9,NJ,"PJM Interconnection, LLC"
201 Sturbridge B,42.109143,-72.171188,0.15788,2,MA,ISO New England Inc.
205 Sturbridge A,42.109272,-72.170507,0.18725,3,MA,ISO New England Inc.
2081 Terzian Solar Project,36.67,-119.415833,0.13946,1.2,CA,California Independent System Operator
2097 Helton Solar Project,37.352222,-120.506944,0.17998,1.5,CA,California Independent System Operator
2127 Harris Solar Project,39.291667,-121.669722,0.23375,1.3,CA,California Independent System Operator
"231 Dixon 74 Solar I, LLC",35.244125,-81.430385,0.22671,2,NC,Duke Energy Progress East
24 Applegate Solar LLC,40.205833,-74.579722,0.01652,4.9,NJ,"PJM Interconnection, LLC"
2555 E Olympic Bl,34.026944,-118.224167,0.15068,1,CA,Los Angeles Department of Water and Power
"265 Pleasant Solar NG, LLC",42.581389,-71.762222,0.06823,2.2,MA,ISO New England Inc.
301 Chestnut Solar NG,42.055179,-72.52178,0.05989,4.3,MA,ISO New England Inc.
"350 Clark Solar, NG, LLC",40.894197,-74.730162,0.11079,1.8,NJ,"PJM Interconnection, LLC"
4 Applegate Solar LLC,40.196389,-74.583611,0.11314,1.8,NJ,"PJM Interconnection, LLC"
"433 Purchase Solar NG, LLC",41.809353,-71.192244,0.16347,2.5,MA,ISO New England Inc.
46 Meadowlands Parkway,40.78976,-74.071521,0.03516,1.5,NJ,"PJM Interconnection, LLC"
4Oaks,35.4325,-78.411667,0.17893,5,NC,Duke Energy Progress East
500 Virginia Solar,40.139167,-75.191667,0.12648,1,PA,"PJM Interconnection, LLC"
510 REPP One,36.4972,-77.6058,0.16526,1.3,NC,"PJM Interconnection, LLC"
651 Chase Solar NG,42.626667,-71.742778,0.17785,2.5,MA,ISO New England Inc.
77 Metro Way,40.770516,-74.072239,0.02283,1,NJ,"PJM Interconnection, LLC"
Abbot Solar,33.678358,-80.240292,0.00845,2,SC,Duke Energy Progress East
ABD Farms,35.728738,-79.748273,0.19749,5,NC,Duke Energy Progress East
"AC Criminal Courts Complex SPE2, LLC",39.4375,-74.690556,0.15314,1.3,NJ,"PJM Interconnection, LLC"
ACCC Mays Landing,39.460566,-74.68093,0.15574,1.4,NJ,"PJM Interconnection, LLC"
Ace Solar,34.722882,-82.525795,,1,SC,Duke Energy Carolinas
ACE-Stanton A PV,28.48455,-81.17411,0.22625,4.1,FL,Florida Municipal Power Pool
ACE-Stanton PV,28.47735,-81.18036,0.23587,4.8,FL,Florida Municipal Power Pool
Achilles Solar,35.359674,-79.911423,,5,NC,Duke Energy Progress East
Acton Solar Landfill,42.473333,-71.430556,0.12743,1.6,MA,ISO New England Inc.
Actus Lend Lease DMAFB,32.1825,-110.863333,0.15308,3,AZ,Tucson Electric Power Company
Acushnet AD Makepeace,41.798889,-70.743611,0.13203,4.7,MA,ISO New England Inc.
Acushnet Hawes Reed Road,41.662222,-71.0425,0.19144,1,MA,ISO New England Inc.
Acushnet- High Hill,41.714444,-70.997222,0.1398,3.2,MA,ISO New England Inc.
Acushnet-Braley Road 1,41.751667,-70.970556,0.14486,1.9,MA,ISO New England Inc.
Adams Ave MS and HS,39.411372,-74.530865,0.17635,3.1,NJ,"PJM Interconnection, LLC"
Adams Community Solar Garden III LLC,39.7867,-104.5877,0.08314,1.2,CO,Public Service Company of Colorado
Adams Community Solar Garden LLC,39.7876,-104.5859,0.24068,1.2,CO,Public Service Company of Colorado
Adams Farm Solar,42.6,-72.2,0.14441,3,MA,ISO New England Inc.
Adams Nielson Solar,46.95528,-118.621244,0.00718,19.2,WA,Avista Corporation
Adams Solar,38.964002,-75.976737,0.1379,1.5,CT,ISO New England Inc.
Adams Solar Center,44.675,-121.122,0.13728,10,OR,PacifiCorp - West
"Adelanto Solar II, LLC",34.557222,-117.3775,0.30745,7,CA,California Independent System Operator
