Plant Name,Latitude,Longitude,Capacity Factor,Nameplate Capacity,State,Balancing Authority Name
7-Mile Ridge Wind Project,63.210689,-143.247156,,1.8,AK,Alaska Miscellaneous
85 A,35.1011,-118.3372,0.12764,14.1,CA,California Independent System Operator
85 B,35.1011,-118.3372,0.10136,21.2,CA,California Independent System Operator
Adair Wind Farm,41.4236,-94.665,0.27047,174.8,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Adams Wind,40.92,-94.671667,0.34029,154.3,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Adams Wind Farm,43.554778,-92.724139,0.22484,24,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Adams Wind Generations LLC,44.916944,-94.735555,0.29843,20,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Aeolus Wind Facility,36.4725,-101.3278,0.11792,3,TX,Southwest Power Pool
Agassiz Beach LLC,47.0053,-96.4356,0.26166,1.9,MN,"Midcontinent Independent Transmission System Operator, Inc.."
Agriwind,41.3017,-89.6236,0.28207,8.4,IL,"Midcontinent Independent Transmission System Operator, Inc.."
Ainsworth Wind,42.4489,-99.8917,0.32,59.4,NE,Southwest Power Pool
Alabama Ledge Wind Farm LLC,43.074275,-78.351991,,79.8,NY,New York Independent System Operator
Alexander Wind Farm LLC,38.424722,-99.5075,0.46941,50.7,KS,Southwest Power Pool
Allegany Wind Farm,42.036944,-78.534444,,72.5,NY,New York Independent System Operator
Allegheny Ridge Wind Farm,40.383889,-78.579444,0.30816,80,PA,"PJM Interconnection, LLC"
Allendorf,43.4,-95.6333,0.06839,5.8,IA,"Midcontinent Independent Transmission System Operator, Inc.."
Alta Mesa Project Phase IV,33.946389,-116.663333,,40,CA,California Independent System Operator
Alta Wind Energy Center I,35.033725,-118.353422,0.30388,150,CA,California Independent System Operator
Alta Wind Energy Center II,35.023889,-118.295278,0.26619,150,CA,California Independent System Operator
Alta Wind Energy Center III,35.023889,-118.295278,0.27476,150,CA,California Independent System Operator
Alta Wind Energy Center IV,35.008611,-118.242222,0.20001,102,CA,California Independent System Operator
Alta Wind Energy Center V,35.008611,-118.242222,0.19355,168,CA,California Independent System Operator
Alta Wind VIII,35.026683,-118.234811,0.20554,150,CA,California Independent System Operator
Alta Wind X,35.06,-118.2,0.30899,138,CA,California Independent System Operator
Alta Wind XI,35.065,-118.39,0.33154,90,CA,California Independent System Operator
Altamont Midway Ltd,37.7392,-121.4322,,10.9,CA,California Independent System Operator
Altech III,33.915023,-116.555064,0.04166,25.1,CA,California Independent System Operator
Amadeus Wind Farm,32.96736,-100.56428,,250,TX,"Electric Reliability Council of Texas, Inc."
"Anacacho Wind Farm, LLC",29.234722,-100.209167,0.37609,99.8,TX,"Electric Reliability Council of Texas, Inc."
"Anchor Wind, LLC",41.850833,-91.234167,0.22905,6,IA,"Midcontinent Independent Transmission System Operator, Inc.."
